id,coverImageUrl,imageBasedRent,rent
0,https://resources.kamernet.nl/image/913b4b03-57b2-4821-aae4-7423dca14888,631.8383178710938,500
3,https://resources.kamernet.nl/image/84e95365-63a7-4154-9dcf-df2ad29b7a31,634.8497924804688,290
8,https://resources.kamernet.nl/image/6e625591-d2e5-402f-94b9-63113678fd01,607.8050537109375,425
10,https://resources.kamernet.nl/image/ea3aea77-04da-4c17-82c5-3466a0da6129,665.5474853515625,600
12,https://resources.kamernet.nl/image/d0780298-b20e-4e3b-a8c9-aee28f748db9,607.5697021484375,425
17,https://resources.kamernet.nl/image/7a90ceee-d29e-4ec2-b923-568cd1b64ffc,604.7302856445312,750
18,https://resources.kamernet.nl/image/f2697bd3-4919-4bcb-9236-1587bb9a5457,,240
19,https://resources.kamernet.nl/image/acc30b0b-4875-4095-b68a-7d46a888ebde,602.9612426757812,500
20,https://resources.kamernet.nl/image/6c2780b0-bbd8-4079-9fc8-072ae5453bbf,596.2003173828125,660
21,https://resources.kamernet.nl/image/e876b66a-3733-4c04-8a84-4e144c3b866a,,412
22,https://resources.kamernet.nl/image/23814873-ca56-499b-95ad-57da52c92a86,625.5266723632812,265
23,https://resources.kamernet.nl/image/ba804fd4-8b78-4b07-b911-d02d2a6b114d,619.8824462890625,800
25,https://resources.kamernet.nl/image/e38c0902-2301-46fc-9d9d-c0ad36462dbd,597.2637939453125,199
28,https://resources.kamernet.nl/image/dc3e3c68-380f-4d3b-822f-128b50f2411e,631.033203125,595
29,https://resources.kamernet.nl/image/752975b7-0ddc-4209-bf63-7642172c6bec,616.5556640625,290
30,https://resources.kamernet.nl/image/660b0822-5f5e-4bee-bdef-30f945f07375,612.4138793945312,270
32,https://resources.kamernet.nl/image/8b88582c-05f4-4261-af3f-9dc4e2459734,622.3295288085938,298
33,https://resources.kamernet.nl/image/00a3487a-6f06-4c90-9140-778f4e3bee5d,634.6336669921875,610
34,https://resources.kamernet.nl/image/4f78e211-fa68-49db-923d-426f4ae65083,596.7733764648438,650
35,https://resources.kamernet.nl/image/ec22b03f-cb95-4fb7-b88c-96044f3a5693,611.8794555664062,475
36,https://resources.kamernet.nl/image/9ffb490d-a5e4-444d-bbf1-8197eb3c7641,612.7050170898438,900
37,https://resources.kamernet.nl/image/2408ca59-83af-404e-b4a9-ae0142f61e2f,580.5639038085938,365
